,Word,Meanings
0,adulterate," 
0. corrupt, debase, or make impure by adding a foreign or inferior substance; often by replacing valuable ingredients with inferior ones
 
0. mixed with impurities
 "
1,vacillate," 
0. be undecided about something; waver between conflicting positions or courses of action
 
1. move or sway in a rising and falling or wavelike pattern
 "
2,pedant," 
0. a person who pays more attention to formal rules and book learning than they merit
 "
3,laudable," 
0. worthy of high praise
 "
4,gullible," 
0. naive and easily deceived or tricked
 
1. easily tricked because of being too trusting
 "
5,desiccate," 
0. preserve by removing all water and liquids from
 
1. remove water from
 
2. lose water or moisture
 
0. lacking vitality or spirit; lifeless
 "
6,audacious," 
0. invulnerable to fear or intimidation
 
1. unrestrained by convention or propriety
 
2. disposed to venture or take risks
 "
7,abstain," 
0. refrain from voting
 
1. choose not to consume
 "
8,zeal," 
0. a feeling of strong eagerness (usually in favor of a person or cause
 
1. excessive fervor to do something or accomplish some end
 
2. prompt willingness
 "
9,placate," 
0. cause to be more favorably inclined; gain the good will of
 "
10,fervid," 
0. characterized by intense emotion
 
1. (archaic
 "
11,enigma," 
0. something that baffles understanding and cannot be explained
 
1. a difficult problem
 "
12,prodigal," 
0. a recklessly extravagant consumer
 
0. recklessly wasteful
 "
13,opaque," 
0. not transmitting or reflecting light or radiant energy; impenetrable to sight
 
1. hard or impossible to understand
 "
14,erudite," 
0. having or showing profound knowledge
 "
15,assuage," 
0. cause to be more favorably inclined; gain the good will of
 
1. satisfy (thirst
 
2. provide physical relief, as from pain
 "
16,precipitate," 
0. a precipitated solid substance in suspension or after settling or filtering
 
0. bring about abruptly
 
1. separate as a fine suspension of solid particles
 
2. fall from clouds
 
3. fall vertically, sharply, or headlong
 
4. hurl or throw violently
 
0. done with very great haste and without due deliberation
 "
17,audacious," 
0. invulnerable to fear or intimidation
 
1. unrestrained by convention or propriety
 
2. disposed to venture or take risks
 "
18,lucid," 
0. (of language
 
1. having a clear mind
 
2. capable of thinking and expressing yourself in a clear and consistent manner
 
3. transmitting light; able to be seen through with clarity
 "
19,equivocal," 
0. open to two or more interpretations; or of uncertain nature or significance; or (often
 
1. or ambiguous
 
2. open to question
 
3. uncertain as a sign or indication
 "
